"u_number","display_name","software_model","product_type","po_number","end_date","u_country","location","u_reseller","purchase_date","purchased_rights","rights","cost","invoice_number","agreement_type"
"SE00103894","5008000008 - MICROSOFT Project 2007 Standard","MICROSOFT Project 2007 Standard","Perpetual","8840005734","","china","Shanghai - Section 701-801","","2008-08-13","24","24","MXN262,198.15","","Generic"
"SE00103896","5008000008 - MICROSOFT SQL Server 2008 R2 Enterprise","MICROSOFT SQL Server 2008 R2 Enterprise","Perpetual","8840005734","","china","Shanghai - Section 701-801","","2008-08-13","1","1","MXN75,272.17","","Generic"
"SE00103895","5008000008 - MICROSOFT Visio 2007 Standard","MICROSOFT Visio 2007 Standard","Perpetual","8840005734","","china","Shanghai - Section 701-801","","2008-08-13","24","24","MXN111,664.24","","Generic"
"SE00103897","5008000008 - MICROSOFT Windows Server 2008 R2 Standard","MICROSOFT Windows Server 2008 R2 Standard","Perpetual","8840005734","","china","Shanghai - Section 701-801","","2008-08-13","6","6","MXN113,917.55","","Generic"
"SE0022504","ACRONIS Cyber Protect Home Office Essentials","ACRONIS Cyber Protect Home Office Essentials","Subscription","5500280879","2023-11-14","Romania","Oradea","","2022-11-14","1","0","MXN846.19","","Generic"
"SE0023443","ACTIVESTATE ActiveTcl","ACTIVESTATE ActiveTcl","Subscription","Q-01563-1","2026-09-24","CANADA","Toronto - 5140 Yonge","Active state","","75","75","MXN0.00","","Enterprise License Agreement (ELA)"
"SE00106371","Adobe Acrobat 2015 Pro","Adobe Acrobat 2015 Pro","Perpetual","5500196918","","Canada","Newmarket","","","6","6","MXN0.00","","Generic"
"SE0021605","Adobe Acrobat 2015 Pro","Adobe Acrobat 2015 Pro","Perpetual","9000400333","","CHINA","Song Shan Lake","","","1","1","MXN0.00","","Enterprise Term License Agreement (ETLA)"
"SE0021624","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280095420","","","","SHI INTERNATIONAL CORP.","2016-08-16","2","2","MXN14,114.94","","Generic"
"SE0022852","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280091338","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2015-06-23","1","1","MXN7,057.47","","Generic"
"SE0021620","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280093266","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2024-05-17","2","2","MXN14,114.94","","Generic"
"SE00106372","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","5500196918","","Canada","Newmarket","","","23","23","MXN0.00","","Generic"
"SE0021621","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280093817","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","","1","1","MXN7,057.47","","Generic"
"SE0022853","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280095420","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2016-08-04","2","2","MXN0.00","","Generic"
"SE0021623","Adobe Acrobat 2015 Pro DC","Adobe Acrobat 2015 Pro DC","Perpetual","9280094816","","Malaysia","Johor Bahru - CJH - Airport","SHI INTERNATIONAL CORP.","2016-06-15","2","2","MXN14,114.94","","Generic"
"SE00106373","Adobe Acrobat 2015 Std","Adobe Acrobat 2015 Std","Perpetual","5500196918","","Canada","Newmarket","","","34","34","MXN0.00","","Generic"
"SE0022574","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5500306933","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN7,243.57","","Generic"
"SE0022808","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5800044452","","UNITED STATES","Richardson","","2024-06-27","6","6","MXN59,629.84","","Generic"
"SE0022573","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5500306600","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN7,243.57","","Generic"
"SE0023204","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","9000800839","","Malaysia","Kulim","SHI Singapore Solutions PTE. LTD.","2022-02-24","1","1","MXN8,038.22","","Generic"
"SE0023697","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","","","","Portland","","","1","1","MXN0.00","","Generic"
"SE0022753","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5800044452","","UNITED STATES","Richardson","","","0","0","MXN0.00","","Generic"
"SE0023187","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5500309587","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN3,671.01","","Generic"
"SE0023048","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","5500309793","","","Toronto - 5140 Yonge","","","1","1","MXN7,243.57","","Generic"
"SE00103898","Adobe Acrobat 2020","Adobe Acrobat 2020","Perpetual","9000400771","","CHINA","Suzhou CTC","","2021-11-26","1","1","MXN13,040.01","","Generic"
"SE0022515","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","8640091770","2025-08-30","CHINA","Suzhou - Su Hong","","","1","1","MXN4,955.20","","Generic"
"SE0023662","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Perpetual","5500314196 ","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN0.00","","Generic"
"SE0023631","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Perpetual","5500314763","","UNITED STATES","Richardson","","","1","1","MXN0.00","","Generic"
"SE0023435","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","","2026-03-09","","","","","1","1","MXN0.00","","Generic"
"SE0023399","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Perpetual","5500313459","","CANADA","Toronto - 5140 Yonge","","","1","1","MXN0.00","","Generic"
"SE0023404","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","5500313329","2026-03-20","Canada","Toronto - 5140 Yonge","","","1","1","MXN2,087.85","","Generic"
"SE0023373","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","","2025-08-08","UNITED STATES","Richardson","","","2","2","MXN0.00","","Generic"
"SE0023301","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","5500312701/5500310611","2026-03-02","UNITED STATES","Richardson","","","2","2","MXN4,774.75","","Generic"
"SE0023401","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","5500312929","2026-03-07","CANADA","Toronto - 5140 Yonge","","","1","1","MXN2,219.45","","Generic"
"SE0023713","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Perpetual","5500315532","","UNITED STATES","Richardson","SHI","2025-05-14","2","2","MXN0.00","","Generic"
"SE0023403","Adobe Acrobat 2024 Pro","Adobe Acrobat 2024 Pro","Subscription","5500313196","2026-03-26","Canada","Remote Employee Canada","","","1","1","MXN2,175.65","","Generic"
"SE0023177","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","7400132173","2025-08-07","Malaysia","Kulim","SHI Singapore Solutions Pte. Ltd.","2025-01-23","1","1","MXN2,564.65","","Value Incentive Plan (VIP)"
"SE0023295","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","8200001693","2026-02-28","Malaysia","Kulim 2","ACAD SYTEMS (Penang ) SDN BHD","","1","1","MXN8,244.36","","Value Incentive Plan (VIP)"
"SE0022982","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9280132330","2025-08-07","Malaysia","Johor Bahru - CJH - Airport","SHI Singapore Solutions PTE. LTD.","2024-09-11","1","1","MXN4,110.93","","Value Incentive Plan (VIP)"
"SE0022763","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Perpetual","7400130313","","Malaysia","Kulim","SHI","2024-09-10","1","1","MXN4,517.16","","Value Incentive Plan (VIP)"
"SE0022862","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9180046398","2025-07-08","SINGAPORE","Singapore - 35 Marsiling","SHI Singapore Solutions Pte. Ltd.","","1","0","MXN3,912.50","","Enterprise Term License Agreement (ETLA)"
"SE0023740","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Perpetual","5500315623","","Canada","Newmarket","","2025-05-16","4","4","MXN0.00","","Generic"
"SE0022897","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","8200001145","2025-08-07","","","","","2","2","MXN7,446.85","","Value Incentive Plan (VIP)"
"SE0022946","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","7400131243","2025-09-08","Malaysia","Kulim","SHI Singapore Solutions Pte. Ltd.","2024-11-13","1","1","MXN3,723.43","","Value Incentive Plan (VIP)"
"SE0021900","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9000801490","2025-08-07","Malaysia","Penang","SG00151962","","6","6","MXN0.00","","Value Incentive Plan (VIP)"
"SE0023210","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9180046734","2025-08-07","SINGAPORE","Singapore - 452 Alexandra","","","1","1","MXN2,358.73","","Enterprise Term License Agreement (ETLA)"
"SE0023853","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","5300000767","2025-08-08","UNITED STATES","Remote Employee US","SHI","","1","1","MXN744.69","","Generic"
"SE0023344","Adobe Acrobat Pro for teams","Adobe Acrobat Pro for teams","Subscription","9000801593","2026-03-09","Malaysia","Penang","","","3","3","MXN0.00","","Enterprise Term License Agreement (ETLA)"
